,0,1,2,3,4,5,6,7,8,9
2349,12,4,2,3,3,8,5,14,17,21
2367,4,3,4,9,13,11,13,6,16,11
2385,3,3,10,11,18,11,11,8,11,16
2403,7,5,3,3,6,6,12,7,18,21
2421,12,13,15,13,9,7,21,21,36,22
2439,14,12,10,10,13,11,8,8,18,22
2457,25,21,29,22,20,26,29,29,32,37
2475,22,27,24,15,8,16,24,25,30,26
2493,9,12,12,16,16,16,15,14,16,15
2511,25,18,18,18,18,18,15,15,18,21
2529,12,12,11,13,18,13,11,20,17,25
2547,19,21,20,18,12,15,13,18,27,30
2565,20,12,21,18,20,22,20,24,12,21
2583,1,0,2,3,3,2,3,12,12,19
2601,13,2,6,12,22,19,14,6,16,11
2619,13,12,16,13,6,11,9,11,1,10
2637,21,27,22,27,19,22,21,33,28,28
2655,11,4,4,6,10,10,6,3,5,2
2673,5,5,9,5,7,4,7,13,13,20
2691,9,13,8,5,10,8,8,3,4,6
2709,7,7,10,12,16,13,7,8,11,11
2727,2,6,4,5,4,4,6,1,9,14
2745,5,7,2,5,5,5,2,1,1,1
2763,12,7,7,5,4,2,4,7,6,11
2781,14,10,19,16,18,13,11,6,15,12
2799,13,11,13,6,1,5,7,15,9,19
2817,6,4,9,11,7,9,14,22,23,22
2835,11,15,18,10,8,12,10,18,11,18
2853,5,9,9,7,3,5,5,5,5,9
2871,9,7,0,6,9,9,8,14,14,13
2889,32,24,30,19,21,16,18,10,10,7
2907,10,18,35,32,28,14,24,27,30,37
2925,18,16,8,8,12,20,18,21,15,23
2943,11,10,13,14,7,6,11,18,27,25
2961,16,22,18,26,14,12,11,15,33,36
2979,20,16,17,18,10,13,22,28,31,34
2997,22,34,25,22,13,16,18,22,27,20
3015,20,13,8,8,3,7,22,34,27,20
3033,16,11,6,9,9,11,9,6,13,23
3051,5,6,4,4,10,9,11,4,4,12
3069,8,9,7,6,7,5,10,15,24,38
3087,30,35,29,34,22,29,20,19,21,14
3105,10,7,7,1,2,2,7,9,10,10
3123,2,2,4,1,3,2,8,15,22,20
3141,25,16,9,11,11,15,19,28,33,40
3159,6,11,14,13,9,12,21,20,18,27
3177,15,9,12,13,10,13,18,25,21,26
3195,25,17,22,17,22,20,25,19,31,38
3213,29,32,32,35,32,29,30,37,47,48
3231,33,37,31,44,33,40,35,39,39,34
3249,18,26,31,35,32,34,33,42,37,38
3267,17,18,20,10,9,9,16,16,18,20
3285,20,14,8,6,4,6,7,12,18,21
3303,25,22,20,25,31,30,24,19,18,13
3321,9,0,6,7,8,3,2,1,8,11
3339,23,15,17,16,25,22,24,27,27,35
3357,17,21,26,24,22,16,26,30,28,24
3375,3,4,4,7,7,9,13,11,21,21
3393,12,13,13,9,11,6,8,6,12,14
3411,7,8,0,7,13,14,11,4,7,6
3429,4,4,4,10,9,18,10,13,11,10
3447,10,20,18,14,3,9,16,24,29,22
3465,14,13,24,22,21,18,18,28,26,31
3483,20,20,18,16,16,16,14,22,23,23
3501,24,21,15,18,12,15,20,26,31,34
3519,34,41,38,37,30,39,25,22,22,27
3537,21,21,27,28,29,30,36,42,43,35
3555,16,22,15,23,19,35,42,55,49,47
3573,29,40,38,38,34,34,36,45,43,44
3591,40,28,19,26,18,28,18,26,33,53
3609,90,76,73,70,70,59,58,55,59,54
3627,28,36,34,37,31,33,33,38,31,23
3645,8,11,10,17,16,12,6,10,19,19
3663,11,8,7,8,17,19,13,6,7,16
3681,14,14,20,24,34,31,25,20,29,42
3699,22,18,15,5,11,19,26,23,22,20
3717,13,11,9,9,9,6,24,37,38,32
3735,50,46,45,36,35,36,33,29,34,32
3753,19,15,6,1,0,1,1,5,7,9
3771,0,0,0,0,0,0,4,12,12,18
3789,14,12,12,0,2,7,12,23,36,44
3807,26,18,11,6,7,12,4,6,1,1
3825,14,14,10,4,9,14,10,17,11,17
3843,6,5,0,4,7,9,12,14,19,13
3861,6,1,1,0,0,0,4,6,6,0
3879,0,0,1,1,13,19,23,14,5,5
3897,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
3915,11,11,7,3,13,31,47,47,31,17
3933,0,4,4,8,2,4,8,14,20,19
3951,8,2,2,0,4,14,25,20,11,5
3969,17,22,27,26,9,4,0,0,3,4
3987,0,10,15,24,15,14,14,21,21,21
4005,12,15,22,14,6,4,13,20,31,32
4023,21,0,0,0,0,0,0,0,0,0
4041,20,20,20,21,29,29,27,21,13,4
4059,0,0,1,5,9,8,2,1,4,7
4077,19,21,20,4,0,0,0,3,14,19
4095,11,11,14,15,15,17,23,24,22,13
4113,22,23,16,9,4,6,3,13,22,26
4131,38,52,53,39,17,9,6,12,16,15
4149,6,1,1,1,0,0,1,1,5,4
4167,12,12,2,4,1,1,3,4,4,0
4185,27,21,22,27,29,37,23,17,14,19
4203,17,19,32,26,21,6,17,14,21,14
4221,53,65,64,68,52,42,31,27,35,42
4239,17,26,33,32,24,16,16,21,29,26
4257,26,31,29,21,13,13,21,23,23,20
4275,2,3,3,3,11,13,14,8,3,12
4293,13,14,21,19,23,18,17,24,28,33
4311,1,1,0,0,0,2,2,8,8,10
9,35,31,28,25,20,19,30,41,44,33
27,30,22,18,13,13,11,22,25,34,38
45,20,16,14,15,8,4,9,16,22,23
63,20,22,24,26,33,48,50,49,45,63
81,81,75,66,70,65,66,57,56,64,67
99,46,46,42,35,35,40,45,48,57,57
117,31,33,25,36,28,33,29,42,56,66
135,60,52,47,45,50,43,40,42,41,39
153,9,14,15,20,16,23,16,17,9,7
171,0,0,1,1,7,7,8,4,8,12
189,24,23,18,20,14,7,17,31,44,43
207,52,40,32,37,31,34,32,33,31,21
225,13,18,16,7,5,2,11,8,21,17
243,21,30,26,26,26,23,16,4,6,6
261,5,14,11,13,4,9,15,23,23,18
279,7,6,5,2,17,15,33,25,30,15
297,23,22,22,23,11,2,18,31,36,22
315,24,10,7,11,16,19,9,8,6,32
333,41,46,48,38,21,11,11,40,64,75
351,48,53,60,66,53,55,57,57,51,46
369,29,16,10,23,27,33,21,32,30,36
387,8,15,13,22,19,23,15,17,13,21
405,13,18,29,22,21,23,34,32,24,23
423,31,32,35,25,14,7,0,2,7,11
441,4,0,0,0,2,2,2,8,8,8
459,21,21,14,16,6,11,10,14,8,23
477,36,23,19,7,21,20,25,16,18,20
495,13,12,7,7,6,7,9,6,6,4
513,0,0,7,7,5,7,10,10,3,0
531,4,8,9,13,10,4,0,5,5,5
549,1,11,13,13,15,17,23,20,15,12
567,1,0,0,1,4,6,4,1,6,9
585,10,10,5,1,3,4,1,0,4,10
603,1,10,16,19,7,4,6,16,13,9
621,1,1,2,5,6,8,3,5,17,19
639,27,21,25,25,23,21,21,22,23,26
657,35,32,38,23,21,13,19,14,14,9
675,46,27,14,5,4,11,21,36,35,54
693,0,0,5,5,10,10,10,6,0,0
711,12,10,9,12,11,16,14,20,18,9
729,3,3,8,4,9,18,32,37,34,30
747,47,21,2,0,2,2,2,1,1,4
765,3,0,1,1,7,10,18,25,32,35
783,20,20,22,26,29,37,37,39,38,41
801,3,2,1,5,5,6,7,7,9,3
819,4,0,0,0,6,8,14,16,16,24
837,8,5,0,0,0,0,0,0,0,13
855,18,26,20,21,9,8,18,28,37,21
873,1,1,0,0,0,0,0,0,1,9
891,7,7,4,1,14,24,31,31,31,33
909,61,57,43,34,26,26,36,53,54,59
927,28,32,42,42,49,57,80,93,75,54
945,19,14,7,7,13,7,5,3,4,7
963,34,34,41,39,40,48,47,44,34,40
981,40,47,48,62,72,76,78,70,62,49
999,43,39,27,27,36,56,62,65,62,70
1017,15,21,27,25,34,34,45,55,61,70
1035,16,19,18,16,4,13,29,49,49,57
1053,44,43,51,53,50,51,57,71,64,62
1071,51,51,51,50,40,46,47,50,45,32
1089,18,13,15,12,11,5,6,-1,16,18
1107,3,0,0,1,1,1,0,8,15,26
1125,4,0,13,24,28,27,28,37,37,42
1143,20,19,23,16,19,19,23,18,14,6
1161,41,41,40,42,46,54,59,57,60,64
1179,22,21,19,16,22,29,41,49,61,72
1197,57,52,54,53,51,45,35,21,6,0
1215,6,9,8,7,8,13,13,-1,16,19
1233,12,9,20,23,27,28,35,50,52,39
1251,27,19,17,16,14,12,12,21,23,25
1269,30,31,35,43,54,54,59,68,70,67
1287,29,24,24,27,33,40,43,37,37,32
1305,37,36,29,34,33,36,34,26,23,21
1323,22,11,14,11,19,21,24,14,9,2
1341,24,29,34,33,34,35,41,42,50,55
1359,25,25,17,17,25,32,33,34,31,38
1377,29,31,29,22,19,14,15,16,21,24
1395,20,20,20,16,17,28,33,35,30,24
1413,24,21,26,29,35,31,41,45,52,46
1431,31,23,16,21,29,30,27,36,37,33
1449,22,14,20,16,21,19,29,29,36,32
1467,9,9,9,4,0,0,11,11,19,22
1485,14,13,13,7,2,2,7,13,26,46
1503,3,7,7,10,12,12,10,8,20,38
1521,4,4,11,11,5,-1,-1,-1,-1,-1
1539,-1,4,7,14,8,5,-1,0,7,16
1557,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
1575,15,23,17,11,9,8,6,0,11,18
1593,0,0,9,33,39,44,34,39,31,16
1611,20,9,1,9,9,14,6,3,0,6
1629,0,2,11,13,9,2,0,0,0,6
1647,0,0,9,7,9,0,0,3,3,3
1665,6,1,4,4,1,0,0,-1,-1,4
1683,9,8,6,0,6,15,16,16,10,11
1701,4,4,4,0,5,6,6,0,5,5
1719,1,1,9,13,13,15,9,15,5,10
1737,1,2,2,0,4,7,14,12,9,6
1755,14,8,11,9,20,12,12,1,3,0
1773,9,9,9,0,0,3,8,11,6,2
1791,4,4,3,8,8,4,0,0,1,4
1809,14,20,26,28,31,28,25,33,36,37
1827,7,10,17,12,10,6,13,17,22,24
1845,6,1,1,10,11,12,2,1,0,0
1863,0,1,4,11,14,14,14,12,18,23
1881,0,3,7,9,12,11,15,23,22,23
1899,13,12,16,12,10,2,3,9,17,13
1917,0,0,0,0,0,2,4,6,4,6
1935,6,3,0,3,3,2,0,0,10,17
1953,7,7,0,0,0,0,8,11,16,7
1971,6,4,9,13,9,6,4,11,10,14
1989,10,10,10,1,9,11,9,1,9,16
2007,0,0,5,4,6,4,4,14,14,16
2025,20,25,21,27,31,28,25,33,39,39
2043,8,0,0,0,0,0,7,29,42,54
2061,32,34,35,35,37,50,42,34,25,22
2079,0,8,13,24,15,16,8,9,9,9
2097,12,19,14,12,3,3,4,6,7,7
2115,2,5,11,21,26,21,20,25,27,29
2133,19,11,11,7,10,16,21,22,23,29
2151,6,14,22,27,19,17,10,24,36,44
2169,0,3,2,2,5,14,41,40,46,34
2187,6,10,20,25,21,10,15,38,43,62
2205,76,25,7,7,7,15,20,30,30,29
2223,30,36,37,31,29,41,50,43,36,41
2241,26,31,53,51,64,30,28,26,30,37
2259,6,13,13,24,25,26,23,30,41,51
2277,24,15,21,14,20,22,20,28,20,23
2295,0,0,0,4,4,7,4,13,12,20
2313,16,20,18,25,17,21,22,20,24,28
2331,10,10,9,7,16,10,9,9,15,17
2349,4,2,3,3,8,5,14,17,21,17
2367,3,4,9,13,11,13,6,16,11,23
2385,3,10,11,18,11,11,8,11,16,23
2403,5,3,3,6,6,12,7,18,21,21
2421,13,15,13,9,7,21,21,36,22,22
2439,12,10,10,13,11,8,8,18,22,21
2457,21,29,22,20,26,29,29,32,37,47
2475,27,24,15,8,16,24,25,30,26,41
2493,12,12,16,16,16,15,14,16,15,15
2511,18,18,18,18,18,15,15,18,21,23
2529,12,11,13,18,13,11,20,17,25,21
2547,21,20,18,12,15,13,18,27,30,44
2565,12,21,18,20,22,20,24,12,21,16
2583,0,2,3,3,2,3,12,12,19,21
2601,2,6,12,22,19,14,6,16,11,12
2619,12,16,13,6,11,9,11,1,10,7
2637,27,22,27,19,22,21,33,28,28,34
2655,4,4,6,10,10,6,3,5,2,8
2673,5,9,5,7,4,7,13,13,20,17
2691,13,8,5,10,8,8,3,4,6,9
2709,7,10,12,16,13,7,8,11,11,11
2727,6,4,5,4,4,6,1,9,14,22
2745,7,2,5,5,5,2,1,1,1,1
2763,7,7,5,4,2,4,7,6,11,6
2781,10,19,16,18,13,11,6,15,12,18
2799,11,13,6,1,5,7,15,9,19,16
2817,4,9,11,7,9,14,22,23,22,25
2835,15,18,10,8,12,10,18,11,18,11
2853,9,9,7,3,5,5,5,5,9,12
2871,7,0,6,9,9,8,14,14,13,13
2889,24,30,19,21,16,18,10,10,7,12
2907,18,35,32,28,14,24,27,30,37,37
2925,16,8,8,12,20,18,21,15,23,22
2943,10,13,14,7,6,11,18,27,25,27
2961,22,18,26,14,12,11,15,33,36,50
2979,16,17,18,10,13,22,28,31,34,43
2997,34,25,22,13,16,18,22,27,20,16
3015,13,8,8,3,7,22,34,27,20,18
3033,11,6,9,9,11,9,6,13,23,31
3051,6,4,4,10,9,11,4,4,12,20
3069,9,7,6,7,5,10,15,24,38,32
3087,35,29,34,22,29,20,19,21,14,18
3105,7,7,1,2,2,7,9,10,10,7
3123,2,4,1,3,2,8,15,22,20,20
3141,16,9,11,11,15,19,28,33,40,48
3159,11,14,13,9,12,21,20,18,27,27
3177,9,12,13,10,13,18,25,21,26,27
3195,17,22,17,22,20,25,19,31,38,58
3213,32,32,35,32,29,30,37,47,48,46
3231,37,31,44,33,40,35,39,39,34,34
3249,26,31,35,32,34,33,42,37,38,39
3267,18,20,10,9,9,16,16,18,20,27
3285,14,8,6,4,6,7,12,18,21,22
3303,22,20,25,31,30,24,19,18,13,8
3321,0,6,7,8,3,2,1,8,11,19
3339,15,17,16,25,22,24,27,27,35,26
3357,21,26,24,22,16,26,30,28,24,15
3375,4,4,7,7,9,13,11,21,21,21
3393,13,13,9,11,6,8,6,12,14,19
3411,8,0,7,13,14,11,4,7,6,7
3429,4,4,10,9,18,10,13,11,10,16
3447,20,18,14,3,9,16,24,29,22,19
3465,13,24,22,21,18,18,28,26,31,30
3483,20,18,16,16,16,14,22,23,23,21
3501,21,15,18,12,15,20,26,31,34,40
3519,41,38,37,30,39,25,22,22,27,25
3537,21,27,28,29,30,36,42,43,35,35
3555,22,15,23,19,35,42,55,49,47,44
3573,40,38,38,34,34,36,45,43,44,32
3591,28,19,26,18,28,18,26,33,53,54
3609,76,73,70,70,59,58,55,59,54,60
3627,36,34,37,31,33,33,38,31,23,16
3645,11,10,17,16,12,6,10,19,19,34
3663,8,7,8,17,19,13,6,7,16,23
3681,14,20,24,34,31,25,20,29,42,38
3699,18,15,5,11,19,26,23,22,20,18
3717,11,9,9,9,6,24,37,38,32,35
3735,46,45,36,35,36,33,29,34,32,44
3753,15,6,1,0,1,1,5,7,9,9
3771,0,0,0,0,0,4,12,12,18,18
3789,12,12,0,2,7,12,23,36,44,47
3807,18,11,6,7,12,4,6,1,1,0
3825,14,10,4,9,14,10,17,11,17,8
3843,5,0,4,7,9,12,14,19,13,11
3861,1,1,0,0,0,4,6,6,0,2
3879,0,1,1,13,19,23,14,5,5,11
3897,-1,-1,-1,-1,-1,-1,-1,-1,18,0
3915,11,7,3,13,31,47,47,31,17,14
3933,4,4,8,2,4,8,14,20,19,23
3951,2,2,0,4,14,25,20,11,5,13
3969,22,27,26,9,4,0,0,3,4,4
3987,10,15,24,15,14,14,21,21,21,22
4005,15,22,14,6,4,13,20,31,32,37
4023,0,0,0,0,0,0,0,0,0,0
4041,20,20,21,29,29,27,21,13,4,7
4059,0,1,5,9,8,2,1,4,7,10
4077,21,20,4,0,0,0,3,14,19,29
4095,11,14,15,15,17,23,24,22,13,-1
4113,23,16,9,4,6,3,13,22,26,18
4131,52,53,39,17,9,6,12,16,15,16
4149,1,1,1,0,0,1,1,5,4,4
4167,12,2,4,1,1,3,4,4,0,1
4185,21,22,27,29,37,23,17,14,19,25
4203,19,32,26,21,6,17,14,21,14,32
4221,65,64,68,52,42,31,27,35,42,41
4239,26,33,32,24,16,16,21,29,26,21
4257,31,29,21,13,13,21,23,23,20,20
4275,3,3,3,11,13,14,8,3,12,23
4293,14,21,19,23,18,17,24,28,33,26
4311,1,0,0,0,2,2,8,8,10,4
9,31,28,25,20,19,30,41,44,33,37
27,22,18,13,13,11,22,25,34,38,50
45,16,14,15,8,4,9,16,22,23,29
63,22,24,26,33,48,50,49,45,63,63
81,75,66,70,65,66,57,56,64,67,72
99,46,42,35,35,40,45,48,57,57,59
117,33,25,36,28,33,29,42,56,66,78
135,52,47,45,50,43,40,42,41,39,36
153,14,15,20,16,23,16,17,9,7,7
171,0,1,1,7,7,8,4,8,12,19
189,23,18,20,14,7,17,31,44,43,46
207,40,32,37,31,34,32,33,31,21,20
225,18,16,7,5,2,11,8,21,17,23
243,30,26,26,26,23,16,4,6,6,8
261,14,11,13,4,9,15,23,23,18,10
279,6,5,2,17,15,33,25,30,15,20
297,22,22,23,11,2,18,31,36,22,22
315,10,7,11,16,19,9,8,6,32,50
333,46,48,38,21,11,11,40,64,75,62
351,53,60,66,53,55,57,57,51,46,-1
369,16,10,23,27,33,21,32,30,36,26
387,15,13,22,19,23,15,17,13,21,22
405,18,29,22,21,23,34,32,24,23,28
423,32,35,25,14,7,0,2,7,11,7
441,0,0,0,2,2,2,8,8,8,20
459,21,14,16,6,11,10,14,8,23,21
477,23,19,7,21,20,25,16,18,20,25
495,12,7,7,6,7,9,6,6,4,6
513,0,7,7,5,7,10,10,3,0,0
531,8,9,13,10,4,0,5,5,5,4
549,11,13,13,15,17,23,20,15,12,9
567,0,0,1,4,6,4,1,6,9,9
585,10,5,1,3,4,1,0,4,10,10
603,10,16,19,7,4,6,16,13,9,6
621,1,2,5,6,8,3,5,17,19,22
639,21,25,25,23,21,21,22,23,26,30
657,32,38,23,21,13,19,14,14,9,21
675,27,14,5,4,11,21,36,35,54,54
693,0,5,5,10,10,10,6,0,0,0
711,10,9,12,11,16,14,20,18,9,6
729,3,8,4,9,18,32,37,34,30,40
747,21,2,0,2,2,2,1,1,4,7
765,0,1,1,7,10,18,25,32,35,24
783,20,22,26,29,37,37,39,38,41,47
801,2,1,5,5,6,7,7,9,3,3
819,0,0,0,6,8,14,16,16,24,20
837,5,0,0,0,0,0,0,0,13,15
855,26,20,21,9,8,18,28,37,21,9
873,1,0,0,0,0,0,0,1,9,15
891,7,4,1,14,24,31,31,31,33,36
909,57,43,34,26,26,36,53,54,59,61
927,32,42,42,49,57,80,93,75,54,28
945,14,7,7,13,7,5,3,4,7,6
963,34,41,39,40,48,47,44,34,40,42
981,47,48,62,72,76,78,70,62,49,47
999,39,27,27,36,56,62,65,62,70,67
1017,21,27,25,34,34,45,55,61,70,76
1035,19,18,16,4,13,29,49,49,57,51
1053,43,51,53,50,51,57,71,64,62,51
1071,51,51,50,40,46,47,50,45,32,21
1089,13,15,12,11,5,6,-1,16,18,24
1107,0,0,1,1,1,0,8,15,26,24
1125,0,13,24,28,27,28,37,37,42,38
1143,19,23,16,19,19,23,18,14,6,21
1161,41,40,42,46,54,59,57,60,64,66
1179,21,19,16,22,29,41,49,61,72,71
1197,52,54,53,51,45,35,21,6,0,5
1215,9,8,7,8,13,13,-1,16,19,30
1233,9,20,23,27,28,35,50,52,39,22
1251,19,17,16,14,12,12,21,23,25,21
1269,31,35,43,54,54,59,68,70,67,55
1287,24,24,27,33,40,43,37,37,32,31
1305,36,29,34,33,36,34,26,23,21,30
1323,11,14,11,19,21,24,14,9,2,6
1341,29,34,33,34,35,41,42,50,55,56
1359,25,17,17,25,32,33,34,31,38,42
1377,31,29,22,19,14,15,16,21,24,32
1395,20,20,16,17,28,33,35,30,24,24
1413,21,26,29,35,31,41,45,52,46,44
1431,23,16,21,29,30,27,36,37,33,24
1449,14,20,16,21,19,29,29,36,32,41
1467,9,9,4,0,0,11,11,19,22,28
1485,13,13,7,2,2,7,13,26,46,60
1503,7,7,10,12,12,10,8,20,38,36
1521,4,11,11,5,-1,-1,-1,-1,-1,-1
1539,4,7,14,8,5,-1,0,7,16,15
1557,-1,-1,-1,-1,-1,-1,-1,-1,2,9
1575,23,17,11,9,8,6,0,11,18,25
1593,0,9,33,39,44,34,39,31,16,24
1611,9,1,9,9,14,6,3,0,6,17
1629,2,11,13,9,2,0,0,0,6,10
1647,0,9,7,9,0,0,3,3,3,0
1665,1,4,4,1,0,0,-1,-1,4,7
1683,8,6,0,6,15,16,16,10,11,14
1701,4,4,0,5,6,6,0,5,5,8
1719,1,9,13,13,15,9,15,5,10,15
1737,2,2,0,4,7,14,12,9,6,2
1755,8,11,9,20,12,12,1,3,0,3
1773,9,9,0,0,3,8,11,6,2,2
1791,4,3,8,8,4,0,0,1,4,4
1809,20,26,28,31,28,25,33,36,37,32
1827,10,17,12,10,6,13,17,22,24,20
1845,1,1,10,11,12,2,1,0,0,6
1863,1,4,11,14,14,14,12,18,23,32
1881,3,7,9,12,11,15,23,22,23,11
1899,12,16,12,10,2,3,9,17,13,12
1917,0,0,0,0,2,4,6,4,6,11
1935,3,0,3,3,2,0,0,10,17,23
1953,7,0,0,0,0,8,11,16,7,5
1971,4,9,13,9,6,4,11,10,14,9
1989,10,10,1,9,11,9,1,9,16,16
2007,0,5,4,6,4,4,14,14,16,21
2025,25,21,27,31,28,25,33,39,39,27
2043,0,0,0,0,0,7,29,42,54,57
2061,34,35,35,37,50,42,34,25,22,22
2079,8,13,24,15,16,8,9,9,9,17
2097,19,14,12,3,3,4,6,7,7,5
2115,5,11,21,26,21,20,25,27,29,29
2133,11,11,7,10,16,21,22,23,29,32
2151,14,22,27,19,17,10,24,36,44,30
2169,3,2,2,5,14,41,40,46,34,45
2187,10,20,25,21,10,15,38,43,62,62
2205,25,7,7,7,15,20,30,30,29,27
2223,36,37,31,29,41,50,43,36,41,58
2241,31,53,51,64,30,28,26,30,37,53
2259,13,13,24,25,26,23,30,41,51,48
2277,15,21,14,20,22,20,28,20,23,23
2295,0,0,4,4,7,4,13,12,20,-1
2313,20,18,25,17,21,22,20,24,28,41
2331,10,9,7,16,10,9,9,15,17,12
2349,2,3,3,8,5,14,17,21,17,14
2367,4,9,13,11,13,6,16,11,23,14
2385,10,11,18,11,11,8,11,16,23,25
2403,3,3,6,6,12,7,18,21,21,34
2421,15,13,9,7,21,21,36,22,22,16
2439,10,10,13,11,8,8,18,22,21,13
2457,29,22,20,26,29,29,32,37,47,48
2475,24,15,8,16,24,25,30,26,41,34
2493,12,16,16,16,15,14,16,15,15,15
2511,18,18,18,18,15,15,18,21,23,27
2529,11,13,18,13,11,20,17,25,21,29
2547,20,18,12,15,13,18,27,30,44,48
2565,21,18,20,22,20,24,12,21,16,22
2583,2,3,3,2,3,12,12,19,21,27
2601,6,12,22,19,14,6,16,11,12,0
2619,16,13,6,11,9,11,1,10,7,20
2637,22,27,19,22,21,33,28,28,34,37
2655,4,6,10,10,6,3,5,2,8,14
2673,9,5,7,4,7,13,13,20,17,22
2691,8,5,10,8,8,3,4,6,9,8
2709,10,12,16,13,7,8,11,11,11,16
2727,4,5,4,4,6,1,9,14,22,17
2745,2,5,5,5,2,1,1,1,1,1
2763,7,5,4,2,4,7,6,11,6,9
2781,19,16,18,13,11,6,15,12,18,11
2799,13,6,1,5,7,15,9,19,16,26
2817,9,11,7,9,14,22,23,22,25,25
2835,18,10,8,12,10,18,11,18,11,20
2853,9,7,3,5,5,5,5,9,12,12
2871,0,6,9,9,8,14,14,13,13,18
2889,30,19,21,16,18,10,10,7,12,7
2907,35,32,28,14,24,27,30,37,37,34
2925,8,8,12,20,18,21,15,23,22,26
2943,13,14,7,6,11,18,27,25,27,20
2961,18,26,14,12,11,15,33,36,50,35
2979,17,18,10,13,22,28,31,34,43,51
2997,25,22,13,16,18,22,27,20,16,11
3015,8,8,3,7,22,34,27,20,18,20
3033,6,9,9,11,9,6,13,23,31,20
3051,4,4,10,9,11,4,4,12,20,25
3069,7,6,7,5,10,15,24,38,32,39
3087,29,34,22,29,20,19,21,14,18,7
3105,7,1,2,2,7,9,10,10,7,8
3123,4,1,3,2,8,15,22,20,20,20
3141,9,11,11,15,19,28,33,40,48,57
3159,14,13,9,12,21,20,18,27,27,25
3177,12,13,10,13,18,25,21,26,27,27
3195,22,17,22,20,25,19,31,38,58,66
3213,32,35,32,29,30,37,47,48,46,48
3231,31,44,33,40,35,39,39,34,34,21
3249,31,35,32,34,33,42,37,38,39,31
3267,20,10,9,9,16,16,18,20,27,27
3285,8,6,4,6,7,12,18,21,22,19
3303,20,25,31,30,24,19,18,13,8,6
3321,6,7,8,3,2,1,8,11,19,13
3339,17,16,25,22,24,27,27,35,26,26
3357,26,24,22,16,26,30,28,24,15,18
3375,4,7,7,9,13,11,21,21,21,23
3393,13,9,11,6,8,6,12,14,19,12
3411,0,7,13,14,11,4,7,6,7,6
3429,4,10,9,18,10,13,11,10,16,15
3447,18,14,3,9,16,24,29,22,19,15
3465,24,22,21,18,18,28,26,31,30,34
3483,18,16,16,16,14,22,23,23,21,17
3501,15,18,12,15,20,26,31,34,40,39
3519,38,37,30,39,25,22,22,27,25,21
3537,27,28,29,30,36,42,43,35,35,38
3555,15,23,19,35,42,55,49,47,44,47
3573,38,38,34,34,36,45,43,44,32,39
3591,19,26,18,28,18,26,33,53,54,49
3609,73,70,70,59,58,55,59,54,60,53
3627,34,37,31,33,33,38,31,23,16,10
3645,10,17,16,12,6,10,19,19,34,38
3663,7,8,17,19,13,6,7,16,23,24
3681,20,24,34,31,25,20,29,42,38,37
3699,15,5,11,19,26,23,22,20,18,20
3717,9,9,9,6,24,37,38,32,35,37
3735,45,36,35,36,33,29,34,32,44,64
3753,6,1,0,1,1,5,7,9,9,5
3771,0,0,0,0,4,12,12,18,18,21
3789,12,0,2,7,12,23,36,44,47,44
3807,11,6,7,12,4,6,1,1,0,6
3825,10,4,9,14,10,17,11,17,8,14
3843,0,4,7,9,12,14,19,13,11,9
3861,1,0,0,0,4,6,6,0,2,14
3879,1,1,13,19,23,14,5,5,11,16
3897,-1,-1,-1,-1,-1,-1,-1,18,0,15
3915,7,3,13,31,47,47,31,17,14,18
3933,4,8,2,4,8,14,20,19,23,49
3951,2,0,4,14,25,20,11,5,13,25
3969,27,26,9,4,0,0,3,4,4,4
3987,15,24,15,14,14,21,21,21,22,16
4005,22,14,6,4,13,20,31,32,37,28
4023,0,0,0,0,0,0,0,0,0,0
4041,20,21,29,29,27,21,13,4,7,12
4059,1,5,9,8,2,1,4,7,10,16
4077,20,4,0,0,0,3,14,19,29,29
4095,14,15,15,17,23,24,22,13,-1,-1
4113,16,9,4,6,3,13,22,26,18,22
4131,53,39,17,9,6,12,16,15,16,20
4149,1,1,0,0,1,1,5,4,4,4
4167,2,4,1,1,3,4,4,0,1,12
4185,22,27,29,37,23,17,14,19,25,23
4203,32,26,21,6,17,14,21,14,32,31
4221,64,68,52,42,31,27,35,42,41,29
4239,33,32,24,16,16,21,29,26,21,10
4257,29,21,13,13,21,23,23,20,20,20
4275,3,3,11,13,14,8,3,12,23,29
4293,21,19,23,18,17,24,28,33,26,23
4311,0,0,0,2,2,8,8,10,4,1
9,28,25,20,19,30,41,44,33,37,36
27,18,13,13,11,22,25,34,38,50,53
45,14,15,8,4,9,16,22,23,29,32
63,24,26,33,48,50,49,45,63,63,62
81,66,70,65,66,57,56,64,67,72,64
99,42,35,35,40,45,48,57,57,59,62
117,25,36,28,33,29,42,56,66,78,62
135,47,45,50,43,40,42,41,39,36,35
153,15,20,16,23,16,17,9,7,7,20
171,1,1,7,7,8,4,8,12,19,23
189,18,20,14,7,17,31,44,43,46,36
207,32,37,31,34,32,33,31,21,20,19
225,16,7,5,2,11,8,21,17,23,18
243,26,26,26,23,16,4,6,6,8,10
261,11,13,4,9,15,23,23,18,10,4
279,5,2,17,15,33,25,30,15,20,30
297,22,23,11,2,18,31,36,22,22,16
315,7,11,16,19,9,8,6,32,50,81
333,48,38,21,11,11,40,64,75,62,50
351,60,66,53,55,57,57,51,46,-1,51
